"Species","Season","Site","City","Long","Lat","Crs","Y","J"
"raccoon","AP17","D02-BMT1","chil",-87.66977928,41.91433602,4326,0,32
"raccoon","AP17","D02-HUP0","chil",-87.69904915,41.90585734,4326,0,13
"raccoon","AP17","D02-JBS1","chil",-87.6399905,41.94889355,4326,10,10
"raccoon","AP17","D02-MDU1","chil",-87.6330656,41.96478369,4326,0,0
"raccoon","AP17","D02-MOP1","chil",-87.72430748,41.91858492,4326,0,27
"raccoon","AP17","D02-RCP1","chil",-87.69329358,41.94109499,4326,0,22
"raccoon","AP17","D02-SCP1","chil",-87.68589743,41.92296839,4326,0,27
"raccoon","AP17","D03-AFP1","chil",-87.71652991,41.94666256,4326,0,23
"raccoon","AP17","D03-AMP1","chil",-87.7482015,41.96850882,4326,0,27
"raccoon","AP17","D03-CHP1","chil",-87.76234923,41.94245857,4326,0,27
"raccoon","AP17","D03-GOM1","chil",-87.73063446,41.97527786,4326,17,27
"raccoon","AP17","D03-NPV1","chil",-87.72834195,41.98593826,4326,26,27
"raccoon","AP17","D03-STB1","chil",-87.66563918,41.96962066,4326,0,24
"raccoon","AP17","D04-DNP1","chil",-87.78423327,41.96512952,4326,0,27
"raccoon","AP17","D04-EDW0","chil",-87.7646423,41.99098007,4326,3,27
"raccoon","AP17","D04-RDP1","chil",-87.78559613,41.98961368,4326,0,27
"raccoon","AP17","D04-ROS0","chil",-87.68932042,41.98771934,4326,0,27
"raccoon","AP17","D05-ADC2","chil",-87.7944926152454,42.0021481597772,4326,0,0
"raccoon","AP17","D05-BRP1","chil",-87.80710669,42.00945005,4326,0,28
"raccoon","AP17","D05-MIA1","chil",-87.79567324,42.02421505,4326,15,31
"raccoon","AP17","D05-PRC1","chil",-87.8318759,42.02154012,4326,8,31
"raccoon","AP17","D06-KCG1","chil",-87.85328609,42.07983052,4326,21,31
"raccoon","AP17","D07-ASC0","chil",-87.88662949,42.05985363,4326,1,30
"raccoon","AP17","D07-NOC1","chil",-87.87945486,42.09431792,4326,6,8
"raccoon","AP17","D08-CCC1","chil",-87.92248236,42.15870422,4326,0,15
"raccoon","AP17","D08-DAW0","chil",-87.89377889,42.12577912,4326,13,31
"raccoon","AP17","D08-DAW2","chil",-87.90145123,42.13530185,4326,13,31
"raccoon","AP17","D09-CLG0","chil",-87.9176414,42.187657685,4326,0,0
"raccoon","AP17","D09-RYW1","chil",-87.90419482,42.1775919,4326,5,31
"raccoon","AP17","D09-VTC1","chil",-87.9292671,42.20377534,4326,0,31
"raccoon","AP17","D10-CAN0","chil",-87.93847762,42.24007189,4326,0,0
"raccoon","AP17","D10-MAC1","chil",-87.92753011,42.25476444,4326,0,5
"raccoon","AP17","D10-VHC1","chil",-87.94735573,42.22265299,4326,2,31
"raccoon","AP17","J01-BBS1","chil",-87.61051042,41.84834938,4326,0,28
"raccoon","AP17","J01-CLP1","chil",-87.65219937,41.91328435,4326,0,0
"raccoon","AP17","J01-LMP1","chil",-87.61053666,41.83717173,4326,7,28
"raccoon","AP17","J01-NOR1","chil",-87.60790591,41.86080165,4326,1,29
"raccoon","AP17","J01-SEP1","chil",-87.63898576,41.90142019,4326,0,27
"raccoon","AP17","J01-SKP1","chil",-87.66100717,41.87989095,4326,0,13
"raccoon","AP17","J01-UIC1","chil",-87.6460853,41.86897406,4326,0,30
"raccoon","AP17","R02-DPG1","chil",-87.69969807,41.86036917,4326,3,31
"raccoon","AP17","R02-FRP1","chil",-87.73276152,41.86167611,4326,0,31
"raccoon","AP17","R02-HRF1","chil",-87.7135301798515,41.8687909871892,4326,0,0
"raccoon","AP17","R03-AUP1","chil",-87.76897765,41.88766256,4326,7,30
"raccoon","AP17","R03-CPG1","chil",-87.7721358,41.87566237,4326,1,31
"raccoon","AP17","R03-EUC1","chil",-87.79182537,41.86573343,4326,5,30
"raccoon","AP17","R03-MAP1","chil",-87.80378089,41.86786605,4326,0,30
"raccoon","AP17","R04-MMW0","chil",-87.83207106,41.85280337,4326,9,30
"raccoon","AP17","R04-MMW3","chil",-87.82763197,41.86356253,4326,8,19
"raccoon","AP17","R04-SCH1","chil",-87.8484205,41.85567851,4326,1,30
"raccoon","AP17","R05-FMG1","chil",-87.91280438,41.84824061,4326,0,30
"raccoon","AP17","R05-GOC1","chil",-87.88292622,41.85757554,4326,5,30
"raccoon","AP17","R05-STP1","chil",-87.86937113,41.88326265,4326,4,30
"raccoon","AP17","R06-OTB1","chil",-87.97779673,41.85248376,4326,10,30
"raccoon","AP17","R06-SLT2","chil",-87.95678027,41.87464622,4326,30,30
"raccoon","AP17","R06-YOW1","chil",-87.93312143,41.85870532,4326,16,30
"raccoon","AP17","R07-FSP1","chil",-88.02228432,41.85090748,4326,22,28
"raccoon","AP17","R07-GOF1","chil",-88.04194649,41.8658981,4326,1,28
"raccoon","AP17","R07-MMP1","chil",-88.00296221,41.87405852,4326,0,2
"raccoon","AP17","R07-YHR1","chil",-87.98972335,41.86578813,4326,5,30
"raccoon","AP17","R08-DAP1","chil",-88.07916556,41.87515101,4326,0,17
"raccoon","AP17","R08-PAP1","chil",-88.05904063,41.8561811,4326,3,28
"raccoon","AP17","R08-VLG1","chil",-88.07091278,41.8521756,4326,15,28
"raccoon","AP17","R08-WBK1","chil",-88.06135623,41.84175796,4326,7,28
"raccoon","AP17","R09-BLW1","chil",-88.14724262,41.86309312,4326,10,28
"raccoon","AP17","R09-CTG0","chil",-88.16212923,41.85014493,4326,1,28
"raccoon","AP17","R09-LIM0","chil",-88.12305588,41.87106444,4326,1,28
"raccoon","AP17","R09-SMI1","chil",-88.11233994,41.85279958,4326,8,28
"raccoon","AP17","R10-FRM1","chil",-88.2632106,41.81899974,4326,24,28
"raccoon","AP17","R10-FRM2","chil",-88.25455583,41.83329816,4326,5,28
"raccoon","AP17","R10-WCP0","chil",-88.2299927,41.88948618,4326,0,0
"raccoon","AP17","R10-WDW0","chil",-88.19222479,41.86593136,4326,2,28
"raccoon","AP17","S02-BNS1","chil",-87.59306926,41.81198992,4326,7,20
"raccoon","AP17","S02-BRI1","chil",-87.69796061,41.829108,4326,0,18
"raccoon","AP17","S02-PIP1","chil",-87.73000452,41.83325462,4326,2,28
"raccoon","AP17","S02-PLP1","chil",-87.64874972,41.84407767,4326,1,28
"raccoon","AP17","S02-TNW1","chil",-87.60065692,41.82389815,4326,0,0
"raccoon","AP17","S03-JKP2","chil",-87.58010698,41.78574236,4326,1,28
"raccoon","AP17","S03-LCP1","chil",-87.75085536,41.81401666,4326,2,28
"raccoon","AP17","S03-PSP1","chil",-87.73172978,41.7880381,4326,0,28
"raccoon","AP17","S03-VIP1","chil",-87.7478189,41.80241759,4326,0,28
"raccoon","AP17","S03-WAP1","chil",-87.71888828,41.81169474,4326,0,13
"raccoon","AP17","S04-HAP1","chil",-87.77935426,41.7803347,4326,0,28
"raccoon","AP17","S04-OTW1","chil",-87.80373503,41.81511794,4326,1,28
"raccoon","AP17","S04-SSP1","chil",-87.79732651,41.79931501,4326,1,22
"raccoon","AP17","S05-LNC1","chil",-87.84473133,41.74274601,4326,1,24
"raccoon","AP17","S05-RES1","chil",-87.82363466,41.76135893,4326,1,24
"raccoon","AP17","S05-SFP0","chil",-87.858986115,41.758854845,4326,0,0
"raccoon","AP17","S06-CBW0","chil",-87.89252291,41.72879771,4326,0,0
"raccoon","AP17","S07-ARG1","chil",-87.97052731,41.71888815,4326,3,26
"raccoon","AP17","S07-ARG2","chil",-87.98063145,41.70899378,4326,4,26
"raccoon","AP17","S07-STJ1","chil",-87.93211936,41.69819734,4326,8,26
"raccoon","AP17","S08-WGL1","chil",-87.99914707,41.69378812,4326,16,26
"raccoon","AP17","S08-WGL3","chil",-87.9590198557433,41.704560101191,4326,0,0
"raccoon","AP17","S09-KTP1","chil",-88.03380771,41.6782417,4326,9,15
"raccoon","AP17","S09-SMC1","chil",-88.01264245,41.65701595,4326,3,27
"raccoon","AP17","S09-VTW0","chil",-88.05987667,41.67081215,4326,7,27
"raccoon","AP17","S10-ILC1","chil",-88.06930047,41.63776364,4326,6,27
"raccoon","AP17","S10-LEW1","chil",-88.07710241,41.5993927,4326,8,27
"raccoon","AP17","S10-LPC1","chil",-88.04816511,41.5915763,4326,8,21
"raccoon","AP17","S10-LPP0","chil",-88.07212554,41.58289314,4326,3,27
"raccoon","JU17","C04-MBP1","chil",-87.57339472,41.71308499,4326,0,0
"raccoon","JU17","C05-BEA1","chil",-87.58721191,41.65419878,4326,0,0
"raccoon","JU17","C05-BMP1","chil",-87.57510693,41.69479206,4326,0,0
"raccoon","JU17","C05-BMP2","chil",-87.56486107,41.6857457,4326,0,0
"raccoon","JU17","C05-EGG1","chil",-87.52634943,41.68809924,4326,0,0
"raccoon","JU17","C05-SPA1","chil",-87.5635175470222,41.6680983277148,4326,0,0
"raccoon","JU17","C06-BEA2","chil",-87.58174014,41.64524646,4326,0,0
"raccoon","JU17","C06-HMP1","chil",-87.56991671,41.65680784,4326,0,0
"raccoon","JU17","D02-BMT1","chil",-87.66977928,41.91433602,4326,1,33
"raccoon","JU17","D02-HUP0","chil",-87.69904915,41.90585734,4326,1,27
"raccoon","JU17","D02-JBS1","chil",-87.6399905,41.94889355,4326,11,19
"raccoon","JU17","D02-MDU1","chil",-87.6330656,41.96478369,4326,0,0
"raccoon","JU17","D02-MOP1","chil",-87.72430748,41.91858492,4326,0,14
"raccoon","JU17","D02-RCP1","chil",-87.69329358,41.94109499,4326,0,27
"raccoon","JU17","D02-SCP1","chil",-87.68589743,41.92296839,4326,0,17
"raccoon","JU17","D03-AFP1","chil",-87.71652991,41.94666256,4326,0,12
"raccoon","JU17","D03-AMP1","chil",-87.7482015,41.96850882,4326,0,26
"raccoon","JU17","D03-CHP1","chil",-87.76234923,41.94245857,4326,0,21
"raccoon","JU17","D03-GOM1","chil",-87.73063446,41.97527786,4326,11,12
"raccoon","JU17","D03-NPV1","chil",-87.72834195,41.98593826,4326,26,26
"raccoon","JU17","D03-STB1","chil",-87.66563918,41.96962066,4326,0,26
"raccoon","JU17","D04-DNP1","chil",-87.78423327,41.96512952,4326,0,25
"raccoon","JU17","D04-EDW0","chil",-87.7646423,41.99098007,4326,9,26
"raccoon","JU17","D04-RDP1","chil",-87.78559613,41.98961368,4326,3,25
"raccoon","JU17","D04-ROS0","chil",-87.68932042,41.98771934,4326,0,26
"raccoon","JU17","D05-ADC2","chil",-87.7944926152454,42.0021481597772,4326,0,0
"raccoon","JU17","D05-BRP1","chil",-87.80710669,42.00945005,4326,0,15
"raccoon","JU17","D05-MIA1","chil",-87.79567324,42.02421505,4326,24,28
"raccoon","JU17","D05-PRC1","chil",-87.8318759,42.02154012,4326,9,28
"raccoon","JU17","D06-KCG1","chil",-87.85328609,42.07983052,4326,18,30
"raccoon","JU17","D07-ASC0","chil",-87.88662949,42.05985363,4326,2,30
"raccoon","JU17","D07-NOC1","chil",-87.87945486,42.09431792,4326,7,31
"raccoon","JU17","D08-CCC1","chil",-87.92248236,42.15870422,4326,17,30
"raccoon","JU17","D08-DAW0","chil",-87.89377889,42.12577912,4326,2,31
"raccoon","JU17","D08-DAW2","chil",-87.90145123,42.13530185,4326,0,0
"raccoon","JU17","D09-CLG0","chil",-87.9176414,42.187657685,4326,2,2
"raccoon","JU17","D09-RYW1","chil",-87.90419482,42.1775919,4326,5,31
"raccoon","JU17","D09-VTC1","chil",-87.9292671,42.20377534,4326,6,31
"raccoon","JU17","D10-CAN0","chil",-87.93847762,42.24007189,4326,0,0
"raccoon","JU17","D10-MAC1","chil",-87.92753011,42.25476444,4326,1,31
"raccoon","JU17","D10-VHC1","chil",-87.94735573,42.22265299,4326,2,31
"raccoon","JU17","J01-BBS1","chil",-87.61051042,41.84834938,4326,3,28
"raccoon","JU17","J01-CLP1","chil",-87.65219937,41.91328435,4326,0,0
"raccoon","JU17","J01-LMP1","chil",-87.61053666,41.83717173,4326,0,28
"raccoon","JU17","J01-NOR1","chil",-87.60790591,41.86080165,4326,2,29
"raccoon","JU17","J01-SEP1","chil",-87.63898576,41.90142019,4326,0,24
"raccoon","JU17","J01-SKP1","chil",-87.66100717,41.87989095,4326,0,28
"raccoon","JU17","J01-UIC1","chil",-87.6460853,41.86897406,4326,0,26
"raccoon","JU17","R02-DPG1","chil",-87.69969807,41.86036917,4326,1,26
"raccoon","JU17","R02-FRP1","chil",-87.73276152,41.86167611,4326,0,26
"raccoon","JU17","R02-HRF1","chil",-87.7135301798515,41.8687909871892,4326,0,0
"raccoon","JU17","R03-AUP1","chil",-87.76897765,41.88766256,4326,15,26
"raccoon","JU17","R03-CPG1","chil",-87.7721358,41.87566237,4326,6,26
"raccoon","JU17","R03-EUC1","chil",-87.79182537,41.86573343,4326,0,26
"raccoon","JU17","R03-MAP1","chil",-87.80378089,41.86786605,4326,0,26
"raccoon","JU17","R04-MMW0","chil",-87.83207106,41.85280337,4326,3,26
"raccoon","JU17","R04-MMW3","chil",-87.82763197,41.86356253,4326,2,23
"raccoon","JU17","R04-SCH1","chil",-87.8484205,41.85567851,4326,2,26
"raccoon","JU17","R05-FMG1","chil",-87.91280438,41.84824061,4326,0,26
"raccoon","JU17","R05-GOC1","chil",-87.88292622,41.85757554,4326,1,26
"raccoon","JU17","R05-STP1","chil",-87.86937113,41.88326265,4326,13,26
"raccoon","JU17","R06-OTB1","chil",-87.97779673,41.85248376,4326,12,26
"raccoon","JU17","R06-SLT2","chil",-87.95678027,41.87464622,4326,26,26
"raccoon","JU17","R06-YOW1","chil",-87.93312143,41.85870532,4326,14,26
"raccoon","JU17","R07-FSP1","chil",-88.02228432,41.85090748,4326,25,28
"raccoon","JU17","R07-GOF1","chil",-88.04194649,41.8658981,4326,4,28
"raccoon","JU17","R07-MMP1","chil",-88.00296221,41.87405852,4326,0,26
"raccoon","JU17","R07-YHR1","chil",-87.98972335,41.86578813,4326,8,26
"raccoon","JU17","R08-DAP1","chil",-88.07916556,41.87515101,4326,13,28
"raccoon","JU17","R08-PAP1","chil",-88.05904063,41.8561811,4326,6,28
"raccoon","JU17","R08-VLG1","chil",-88.07091278,41.8521756,4326,10,28
"raccoon","JU17","R08-WBK1","chil",-88.06135623,41.84175796,4326,9,28
"raccoon","JU17","R09-BLW1","chil",-88.14724262,41.86309312,4326,4,28
"raccoon","JU17","R09-CTG0","chil",-88.16212923,41.85014493,4326,0,28
"raccoon","JU17","R09-LIM0","chil",-88.12305588,41.87106444,4326,4,28
"raccoon","JU17","R09-SMI1","chil",-88.11233994,41.85279958,4326,7,28
"raccoon","JU17","R10-FRM1","chil",-88.2632106,41.81899974,4326,11,29
"raccoon","JU17","R10-FRM2","chil",-88.25455583,41.83329816,4326,1,29
"raccoon","JU17","R10-WCP0","chil",-88.2299927,41.88948618,4326,5,28
"raccoon","JU17","R10-WDW0","chil",-88.19222479,41.86593136,4326,17,28
"raccoon","JU17","S02-BNS1","chil",-87.59306926,41.81198992,4326,9,28
"raccoon","JU17","S02-BRI1","chil",-87.69796061,41.829108,4326,0,28
"raccoon","JU17","S02-PIP1","chil",-87.73000452,41.83325462,4326,3,28
"raccoon","JU17","S02-PLP1","chil",-87.64874972,41.84407767,4326,1,16
"raccoon","JU17","S02-TNW1","chil",-87.60065692,41.82389815,4326,0,0
"raccoon","JU17","S03-JKP2","chil",-87.58010698,41.78574236,4326,19,28
"raccoon","JU17","S03-LCP1","chil",-87.75085536,41.81401666,4326,5,29
"raccoon","JU17","S03-PSP1","chil",-87.73172978,41.7880381,4326,0,17
"raccoon","JU17","S03-VIP1","chil",-87.7478189,41.80241759,4326,0,23
"raccoon","JU17","S03-WAP1","chil",-87.71888828,41.81169474,4326,1,29
"raccoon","JU17","S04-HAP1","chil",-87.77935426,41.7803347,4326,1,25
"raccoon","JU17","S04-OTW1","chil",-87.80373503,41.81511794,4326,24,28
"raccoon","JU17","S04-SSP1","chil",-87.79732651,41.79931501,4326,2,29
"raccoon","JU17","S05-LNC1","chil",-87.84473133,41.74274601,4326,6,28
"raccoon","JU17","S05-RES1","chil",-87.82363466,41.76135893,4326,1,28
"raccoon","JU17","S05-SFP0","chil",-87.858986115,41.758854845,4326,8,28
"raccoon","JU17","S06-CBW0","chil",-87.89252291,41.72879771,4326,12,29
"raccoon","JU17","S07-ARG1","chil",-87.97052731,41.71888815,4326,4,28
"raccoon","JU17","S07-ARG2","chil",-87.98063145,41.70899378,4326,14,28
"raccoon","JU17","S07-STJ1","chil",-87.93211936,41.69819734,4326,6,28
"raccoon","JU17","S08-WGL1","chil",-87.99914707,41.69378812,4326,0,13
"raccoon","JU17","S08-WGL3","chil",-87.9590198557433,41.704560101191,4326,0,0
"raccoon","JU17","S09-KTP1","chil",-88.03380771,41.6782417,4326,0,13
"raccoon","JU17","S09-SMC1","chil",-88.01264245,41.65701595,4326,5,28
"raccoon","JU17","S09-VTW0","chil",-88.05987667,41.67081215,4326,25,29
"raccoon","JU17","S10-ILC1","chil",-88.06930047,41.63776364,4326,14,28
"raccoon","JU17","S10-LEW1","chil",-88.07710241,41.5993927,4326,6,28
"raccoon","JU17","S10-LPC1","chil",-88.04816511,41.5915763,4326,3,28
"raccoon","JU17","S10-LPP0","chil",-88.07212554,41.58289314,4326,1,28
"raccoon","OC17","C04-MBP1","chil",-87.57339472,41.71308499,4326,0,0
"raccoon","OC17","C05-BEA1","chil",-87.58721191,41.65419878,4326,0,0
"raccoon","OC17","C05-BMP1","chil",-87.57510693,41.69479206,4326,0,0
"raccoon","OC17","C05-BMP2","chil",-87.56486107,41.6857457,4326,0,0
"raccoon","OC17","C05-EGG1","chil",-87.52634943,41.68809924,4326,0,0
"raccoon","OC17","C05-SPA1","chil",-87.5635175470222,41.6680983277148,4326,0,0
"raccoon","OC17","C06-BEA2","chil",-87.58174014,41.64524646,4326,0,0
"raccoon","OC17","C06-HMP1","chil",-87.56991671,41.65680784,4326,0,0
"raccoon","OC17","D02-BMT1","chil",-87.66977928,41.91433602,4326,0,29
"raccoon","OC17","D02-HUP0","chil",-87.69904915,41.90585734,4326,8,26
"raccoon","OC17","D02-JBS1","chil",-87.6399905,41.94889355,4326,30,30
"raccoon","OC17","D02-MDU1","chil",-87.6330656,41.96478369,4326,0,0
"raccoon","OC17","D02-MOP1","chil",-87.72430748,41.91858492,4326,0,26
"raccoon","OC17","D02-RCP1","chil",-87.69329358,41.94109499,4326,0,26
"raccoon","OC17","D02-SCP1","chil",-87.68589743,41.92296839,4326,0,26
"raccoon","OC17","D03-AFP1","chil",-87.71652991,41.94666256,4326,1,26
"raccoon","OC17","D03-AMP1","chil",-87.7482015,41.96850882,4326,0,26
"raccoon","OC17","D03-CHP1","chil",-87.76234923,41.94245857,4326,0,26
"raccoon","OC17","D03-GOM1","chil",-87.73063446,41.97527786,4326,3,5
"raccoon","OC17","D03-NPV1","chil",-87.72834195,41.98593826,4326,26,26
"raccoon","OC17","D03-STB1","chil",-87.66563918,41.96962066,4326,0,26
"raccoon","OC17","D04-DNP1","chil",-87.78423327,41.96512952,4326,0,13
"raccoon","OC17","D04-EDW0","chil",-87.7646423,41.99098007,4326,9,16
"raccoon","OC17","D04-RDP1","chil",-87.78559613,41.98961368,4326,0,26
"raccoon","OC17","D04-ROS0","chil",-87.68932042,41.98771934,4326,1,26
"raccoon","OC17","D05-ADC2","chil",-87.7944926152454,42.0021481597772,4326,0,0
"raccoon","OC17","D05-BRP1","chil",-87.80710669,42.00945005,4326,3,26
"raccoon","OC17","D05-MIA1","chil",-87.79567324,42.02421505,4326,1,29
"raccoon","OC17","D05-PRC1","chil",-87.8318759,42.02154012,4326,14,29
"raccoon","OC17","D06-KCG1","chil",-87.85328609,42.07983052,4326,18,29
"raccoon","OC17","D07-ASC0","chil",-87.88662949,42.05985363,4326,2,29
"raccoon","OC17","D07-NOC1","chil",-87.87945486,42.09431792,4326,14,29
"raccoon","OC17","D08-CCC1","chil",-87.92248236,42.15870422,4326,14,29
"raccoon","OC17","D08-DAW0","chil",-87.89377889,42.12577912,4326,1,29
"raccoon","OC17","D08-DAW2","chil",-87.90145123,42.13530185,4326,17,29
"raccoon","OC17","D09-CLG0","chil",-87.9176414,42.187657685,4326,17,29
"raccoon","OC17","D09-RYW1","chil",-87.90419482,42.1775919,4326,6,29
"raccoon","OC17","D09-VTC1","chil",-87.9292671,42.20377534,4326,3,29
"raccoon","OC17","D10-CAN0","chil",-87.93847762,42.24007189,4326,7,29
"raccoon","OC17","D10-MAC1","chil",-87.92753011,42.25476444,4326,0,29
"raccoon","OC17","D10-VHC1","chil",-87.94735573,42.22265299,4326,1,29
"raccoon","OC17","J01-BBS1","chil",-87.61051042,41.84834938,4326,0,23
"raccoon","OC17","J01-CLP1","chil",-87.65219937,41.91328435,4326,0,0
"raccoon","OC17","J01-LMP1","chil",-87.61053666,41.83717173,4326,2,27
"raccoon","OC17","J01-NOR1","chil",-87.60790591,41.86080165,4326,3,28
"raccoon","OC17","J01-SEP1","chil",-87.63898576,41.90142019,4326,0,17
"raccoon","OC17","J01-SKP1","chil",-87.66100717,41.87989095,4326,0,27
"raccoon","OC17","J01-UIC1","chil",-87.6460853,41.86897406,4326,1,27
"raccoon","OC17","R02-DPG1","chil",-87.69969807,41.86036917,4326,3,27
"raccoon","OC17","R02-FRP1","chil",-87.73276152,41.86167611,4326,0,37
"raccoon","OC17","R02-HRF1","chil",-87.7135301798515,41.8687909871892,4326,0,0
"raccoon","OC17","R03-AUP1","chil",-87.76897765,41.88766256,4326,1,2
"raccoon","OC17","R03-CPG1","chil",-87.7721358,41.87566237,4326,0,27
"raccoon","OC17","R03-EUC1","chil",-87.79182537,41.86573343,4326,0,27
"raccoon","OC17","R03-MAP1","chil",-87.80378089,41.86786605,4326,0,27
"raccoon","OC17","R04-MMW0","chil",-87.83207106,41.85280337,4326,11,27
"raccoon","OC17","R04-MMW3","chil",-87.82763197,41.86356253,4326,11,27
"raccoon","OC17","R04-SCH1","chil",-87.8484205,41.85567851,4326,3,27
"raccoon","OC17","R05-FMG1","chil",-87.91280438,41.84824061,4326,1,27
"raccoon","OC17","R05-GOC1","chil",-87.88292622,41.85757554,4326,7,27
"raccoon","OC17","R05-STP1","chil",-87.86937113,41.88326265,4326,14,27
"raccoon","OC17","R06-OTB1","chil",-87.97779673,41.85248376,4326,3,27
"raccoon","OC17","R06-SLT2","chil",-87.95678027,41.87464622,4326,27,27
"raccoon","OC17","R06-YOW1","chil",-87.93312143,41.85870532,4326,26,27
"raccoon","OC17","R07-FSP1","chil",-88.02228432,41.85090748,4326,13,15
"raccoon","OC17","R07-GOF1","chil",-88.04194649,41.8658981,4326,9,15
"raccoon","OC17","R07-MMP1","chil",-88.00296221,41.87405852,4326,2,27
"raccoon","OC17","R07-YHR1","chil",-87.98972335,41.86578813,4326,5,27
"raccoon","OC17","R08-DAP1","chil",-88.07916556,41.87515101,4326,17,29
"raccoon","OC17","R08-PAP1","chil",-88.05904063,41.8561811,4326,5,29
"raccoon","OC17","R08-VLG1","chil",-88.07091278,41.8521756,4326,5,15
"raccoon","OC17","R08-WBK1","chil",-88.06135623,41.84175796,4326,0,29
"raccoon","OC17","R09-BLW1","chil",-88.14724262,41.86309312,4326,3,29
"raccoon","OC17","R09-CTG0","chil",-88.16212923,41.85014493,4326,1,29
"raccoon","OC17","R09-LIM0","chil",-88.12305588,41.87106444,4326,12,29
"raccoon","OC17","R09-SMI1","chil",-88.11233994,41.85279958,4326,5,29
"raccoon","OC17","R10-FRM1","chil",-88.2632106,41.81899974,4326,21,29
"raccoon","OC17","R10-FRM2","chil",-88.25455583,41.83329816,4326,7,29
"raccoon","OC17","R10-WCP0","chil",-88.2299927,41.88948618,4326,10,29
"raccoon","OC17","R10-WDW0","chil",-88.19222479,41.86593136,4326,14,29
"raccoon","OC17","S02-BNS1","chil",-87.59306926,41.81198992,4326,0,0
"raccoon","OC17","S02-BRI1","chil",-87.69796061,41.829108,4326,0,27
"raccoon","OC17","S02-PIP1","chil",-87.73000452,41.83325462,4326,0,27
"raccoon","OC17","S02-PLP1","chil",-87.64874972,41.84407767,4326,1,27
"raccoon","OC17","S02-TNW1","chil",-87.60065692,41.82389815,4326,0,0
"raccoon","OC17","S03-JKP2","chil",-87.58010698,41.78574236,4326,25,27
"raccoon","OC17","S03-LCP1","chil",-87.75085536,41.81401666,4326,6,27
"raccoon","OC17","S03-PSP1","chil",-87.73172978,41.7880381,4326,1,27
"raccoon","OC17","S03-VIP1","chil",-87.7478189,41.80241759,4326,0,27
"raccoon","OC17","S03-WAP1","chil",-87.71888828,41.81169474,4326,1,27
"raccoon","OC17","S04-HAP1","chil",-87.77935426,41.7803347,4326,0,27
"raccoon","OC17","S04-OTW1","chil",-87.80373503,41.81511794,4326,3,15
"raccoon","OC17","S04-SSP1","chil",-87.79732651,41.79931501,4326,4,27
"raccoon","OC17","S05-LNC1","chil",-87.84473133,41.74274601,4326,4,30
"raccoon","OC17","S05-RES1","chil",-87.82363466,41.76135893,4326,2,30
"raccoon","OC17","S05-SFP0","chil",-87.858986115,41.758854845,4326,3,30
